data_date,portfolio_value,unrealized_return
2026-02-02 21:56:30.808649+00:00,5182.76,325.37
2026-02-03 00:57:39.902736+00:00,5181.86,324.47
2026-02-03 01:17:39.983389+00:00,5181.56,324.17
2026-02-03 01:36:25.575904+00:00,5181.17,323.78
2026-02-03 05:16:24.567977+00:00,5183.46,326.07
2026-02-03 05:36:22.982943+00:00,5183.13,325.74
2026-02-03 05:56:25.588013+00:00,5184.31,326.92
2026-02-03 06:16:28.290168+00:00,5183.8,326.41
2026-02-03 06:36:28.489083+00:00,5183.58,326.19
2026-02-03 06:56:22.684991+00:00,5182.84,325.45
2026-02-03 07:16:30.289627+00:00,5181.23,323.84
2026-02-03 07:36:28.886291+00:00,5182.5,325.11
2026-02-03 07:56:23.936568+00:00,5183.18,325.79
